MAC,Seg,Signal,minSignal,minSeg,totalSeg
00:23:12:22:f8:15,3562.71875,-81.0,-87.0,56.624515533447266,3506.09423828125
e0:f5:c6:14:a2:75,3535.86083984375,-65.0,-85.0,26.54191780090332,3509.31884765625
d8:3c:69:a2:e7:b0,3524.8505859375,-77.0,-87.0,0.5056999921798706,3524.344970703125
e4:98:d6:7b:25:51,3578.37890625,-73.0,-83.0,46.71434783935547,3531.66455078125
80:4e:81:63:34:2f,3575.156982421875,-15.0,-83.0,36.57768630981445,3538.579345703125
18:83:bf:73:42:79,3566.188232421875,-71.0,-87.0,17.95134735107422,3548.23681640625
40:30:04:86:81:3e,3560.338623046875,-4.0,-81.0,8.754220008850098,3551.58447265625
b4:8b:19:ad:80:21,3573.06591796875,-71.0,-75.0,18.946325302124023,3554.11962890625
e4:98:d6:5e:01:f9,3566.466064453125,-79.0,-83.0,2.8759100437164307,3563.590087890625
90:ef:68:41:1c:bc,3580.903564453125,-71.0,-85.0,12.676460266113281,3568.22705078125
4c:74:03:6d:fe:36,3577.660400390625,-77.0,-85.0,5.116858005523682,3572.54345703125
d8:61:94:9a:0a:da,3579.117919921875,-71.0,-83.0,4.493398189544678,3574.62451171875
18:00:2d:ff:0a:7a,3578.75927734375,-69.0,-87.0,3.963236093521118,3574.796142578125
9c:f3:87:96:2d:7a,3581.085205078125,-71.0,-83.0,0.5967649817466736,3580.488525390625
04:18:d6:ca:40:a0,3583.353515625,-69.0,-85.0,1.9705970287322998,3581.3828125
94:fe:22:8d:55:8e,3583.310791015625,-77.0,-89.0,0.39992600679397583,3582.910888671875
f8:0f:d9:46:12:cf,3583.195556640625,-79.0,-89.0,0.18681199848651886,3583.0087890625
f8:fb:56:0f:5b:f5,3583.386474609375,-67.0,-87.0,0.17865799367427826,3583.207763671875
34:4d:ea:93:68:c0,3583.347900390625,-4.0,-85.0,0.08991900086402893,3583.258056640625
ce:fb:65:8e:62:72,3583.437255859375,-71.0,-85.0,0.1632550060749054,3583.27392578125
0a:18:d6:cb:40:a0,3583.353271484375,-65.0,-85.0,0.02462100051343441,3583.32861328125
d8:b6:b7:0d:48:7e,3583.364990234375,-63.0,-85.0,0.0359640009701252,3583.3291015625
18:83:bf:73:42:7a,3583.388427734375,-73.0,-87.0,0.027915000915527344,3583.360595703125
94:4a:0c:4f:a6:75,3583.425537109375,-57.0,-87.0,0.006504000164568424,3583.4189453125
f8:63:94:9a:0a:e3,3583.43212890625,-73.0,-85.0,0.0,3583.43212890625
